reward,step_time,total_stopped,total_wait_time
0.0,125.0,25,1496.0
-1496.0,130.0,21,1295.0
201.0,135.0,24,1226.0
69.0,140.0,25,1202.0
24.0,145.0,26,1247.0
-45.0,150.0,26,1377.0
-130.0,155.0,28,1514.0
-137.0,160.0,32,1665.0
-151.0,165.0,33,1828.0
-163.0,170.0,34,1997.0
-169.0,175.0,36,2175.0
-178.0,180.0,38,2363.0
-188.0,185.0,38,2553.0
-190.0,190.0,40,2750.0
-197.0,195.0,40,2881.0
-131.0,200.0,44,3088.0
-207.0,205.0,42,3296.0
-208.0,210.0,42,3505.0
-209.0,215.0,46,3732.0
-227.0,220.0,46,3962.0
-230.0,225.0,48,4196.0
-234.0,230.0,50,4446.0
-250.0,235.0,53,4707.0
-261.0,240.0,50,4584.0
123.0,245.0,42,4103.0
481.0,250.0,34,3947.0
156.0,255.0,34,4108.0
-161.0,260.0,37,4282.0
-174.0,265.0,45,4491.0
-209.0,270.0,51,4735.0
-244.0,275.0,56,5007.0
-272.0,280.0,56,5287.0
-280.0,285.0,51,5197.0
90.0,290.0,46,4774.0
423.0,295.0,41,4982.0
-208.0,300.0,42,5181.0
-199.0,305.0,45,5397.0
-216.0,310.0,51,5642.0
-245.0,315.0,58,5922.0
-280.0,320.0,63,6227.0
-305.0,325.0,63,6542.0
-315.0,330.0,67,6870.0
-328.0,335.0,69,7214.0
-344.0,340.0,71,7563.0
-349.0,345.0,71,7918.0
-355.0,350.0,72,8274.0
-356.0,355.0,72,8634.0
-360.0,360.0,67,8560.0
74.0,365.0,61,8093.0
467.0,370.0,54,8193.0
-100.0,375.0,52,8451.0
-258.0,380.0,55,8712.0
-261.0,385.0,60,8705.0
7.0,390.0,59,8702.0
3.0,395.0,60,8998.0
-296.0,400.0,58,9292.0
-294.0,405.0,63,9598.0
-306.0,410.0,68,9926.0
-328.0,415.0,76,10288.0
-362.0,420.0,79,10678.0
-390.0,425.0,80,11075.0
-397.0,430.0,74,11003.0
72.0,435.0,67,10510.0
493.0,440.0,60,10811.0
-301.0,445.0,57,11100.0
-289.0,450.0,62,11400.0
-300.0,455.0,68,11731.0
-331.0,460.0,70,11663.0
68.0,465.0,66,11238.0
425.0,470.0,59,11359.0
-121.0,475.0,56,11633.0
-274.0,480.0,61,11928.0
-295.0,485.0,67,12251.0
-323.0,490.0,73,12607.0
-356.0,495.0,77,12986.0
-379.0,500.0,78,13374.0
-388.0,505.0,78,13764.0
-390.0,510.0,80,14160.0
-396.0,515.0,80,14560.0
-400.0,520.0,79,14532.0
28.0,525.0,72,14098.0
434.0,530.0,62,14230.0
-132.0,535.0,52,13906.0
324.0,540.0,57,14172.0
-266.0,545.0,67,14493.0
-321.0,550.0,75,14852.0
-359.0,555.0,78,15237.0
-385.0,560.0,80,15634.0
-397.0,565.0,80,16034.0
-400.0,570.0,82,16437.0
-403.0,575.0,82,16847.0
-410.0,580.0,83,17258.0
-411.0,585.0,84,17677.0
-419.0,590.0,80,17606.0
71.0,595.0,74,17074.0
532.0,600.0,65,17407.0
-333.0,605.0,62,17711.0
-304.0,610.0,64,18022.0
-311.0,615.0,72,18365.0
-343.0,620.0,78,18737.0
-372.0,625.0,76,18646.0
91.0,630.0,67,17962.0
684.0,635.0,61,18277.0
-315.0,640.0,60,18579.0
-302.0,645.0,62,18883.0
-304.0,650.0,61,18512.0
371.0,655.0,66,17892.0
620.0,660.0,74,18233.0
-341.0,665.0,77,18615.0
-382.0,670.0,78,19005.0
-390.0,675.0,79,19398.0
-393.0,680.0,80,19797.0
-399.0,685.0,81,20199.0
-402.0,690.0,75,19541.0
658.0,695.0,60,18451.0
1090.0,700.0,45,18353.0
98.0,705.0,37,18552.0
-199.0,710.0,37,18742.0
-190.0,715.0,52,18971.0
-229.0,720.0,63,19261.0
-290.0,725.0,73,19611.0
-350.0,730.0,76,19989.0
-378.0,735.0,78,20373.0
-384.0,740.0,80,20768.0
-395.0,745.0,76,20735.0
33.0,750.0,75,20644.0
91.0,755.0,75,21000.0
-356.0,760.0,75,21369.0
-369.0,765.0,75,21744.0
-375.0,770.0,75,22119.0
-375.0,775.0,77,22500.0
-381.0,780.0,77,22885.0
-385.0,785.0,77,23270.0
-385.0,790.0,71,23137.0
133.0,795.0,63,22500.0
637.0,800.0,54,22555.0
-55.0,805.0,53,22819.0
-264.0,810.0,55,23086.0
-267.0,815.0,62,23386.0
-300.0,820.0,69,23717.0
-331.0,825.0,73,24078.0
-361.0,830.0,74,24446.0
-368.0,835.0,75,24819.0
-373.0,840.0,75,25194.0
-375.0,845.0,77,25576.0
-382.0,850.0,77,25961.0
-385.0,855.0,78,26349.0
-388.0,860.0,75,26562.0
-213.0,865.0,77,26889.0
-327.0,870.0,76,27266.0
