reward,step_time,total_stopped,total_wait_time
0.0,125.0,7,744.0
-169.0,130.0,9,785.0
-10.0,135.0,6,737.0
-10.0,140.0,6,566.0
-10.0,145.0,5,482.0
-10.0,150.0,5,509.0
-10.0,155.0,1,316.0
102.0,160.0,5,126.0
117.0,165.0,0,5.0
0.0,170.0,1,7.0
-5.0,175.0,0,4.0
3.0,180.0,2,8.0
-1.0,185.0,2,14.0
-9.0,190.0,3,25.0
-10.0,195.0,4,45.0
-10.0,200.0,4,65.0
-10.0,205.0,4,85.0
-10.0,210.0,4,105.0
-10.0,215.0,4,125.0
-10.0,220.0,10,170.0
-14.0,225.0,10,220.0
-15.0,230.0,11,272.0
-15.0,235.0,8,300.0
-15.0,240.0,8,324.0
-15.0,245.0,7,302.0
49.0,250.0,9,339.0
-10.0,255.0,9,384.0
-10.0,260.0,10,430.0
-10.0,265.0,18,496.0
-13.0,270.0,18,523.0
-27.0,275.0,18,606.0
-25.0,280.0,19,688.0
-25.0,285.0,20,768.0
-29.0,290.0,23,877.0
-33.0,295.0,22,983.0
-33.0,300.0,25,1103.0
-35.0,305.0,25,1207.0
-35.0,310.0,25,1315.0
-35.0,315.0,20,1212.0
-35.0,320.0,14,883.0
-35.0,325.0,15,884.0
-35.0,330.0,15,903.0
-35.0,335.0,16,980.0
-39.0,340.0,19,1066.0
-40.0,345.0,19,1161.0
-40.0,350.0,21,1193.0
-47.0,355.0,21,1300.0
-50.0,360.0,19,1314.0
45.0,365.0,19,1340.0
36.0,370.0,17,1253.0
-35.0,375.0,17,1327.0
-35.0,380.0,17,1412.0
-35.0,385.0,17,1495.0
-35.0,390.0,17,1580.0
-35.0,395.0,11,1342.0
162.0,400.0,12,1355.0
26.0,405.0,12,1415.0
-20.0,410.0,14,1426.0
-20.0,415.0,13,1180.0
-22.0,420.0,19,1151.0
-27.0,425.0,18,1238.0
-27.0,430.0,19,1329.0
-26.0,435.0,15,1172.0
-35.0,440.0,14,1047.0
-43.0,445.0,17,1125.0
-45.0,450.0,15,1197.0
-45.0,455.0,15,1243.0
-45.0,460.0,12,1233.0
-9.0,465.0,12,1235.0
27.0,470.0,14,1303.0
-28.0,475.0,14,1374.0
-30.0,480.0,10,1061.0
273.0,485.0,10,1050.0
-25.0,490.0,5,951.0
-25.0,495.0,5,880.0
-27.0,500.0,6,908.0
-25.0,505.0,5,875.0
38.0,510.0,6,902.0
-18.0,515.0,15,934.0
-29.0,520.0,16,712.0
279.0,525.0,16,783.0
-17.0,530.0,21,876.0
-34.0,535.0,24,987.0
-35.0,540.0,24,1107.0
-35.0,545.0,24,1216.0
-35.0,550.0,18,1200.0
-35.0,555.0,18,1247.0
-37.0,560.0,18,1337.0
-35.0,565.0,20,1431.0
-36.0,570.0,23,1540.0
-44.0,575.0,23,1655.0
-50.0,580.0,20,1689.0
-52.0,585.0,20,1730.0
-50.0,590.0,22,1835.0
-50.0,595.0,19,1805.0
-48.0,600.0,20,1820.0
-53.0,605.0,20,1922.0
-55.0,610.0,19,1939.0
33.0,615.0,20,1901.0
91.0,620.0,24,2019.0
-40.0,625.0,24,2139.0
-40.0,630.0,27,2263.0
-40.0,635.0,22,2195.0
-40.0,640.0,21,2156.0
-40.0,645.0,21,2241.0
-40.0,650.0,22,2345.0
-40.0,655.0,24,2461.0
-40.0,660.0,23,2577.0
-42.0,665.0,23,2692.0
-40.0,670.0,23,2807.0
-40.0,675.0,24,2924.0
-42.0,680.0,20,2895.0
-46.0,685.0,23,2890.0
-50.0,690.0,22,2995.0
-50.0,695.0,24,3116.0
-50.0,700.0,21,3114.0
-54.0,705.0,21,3115.0
-46.0,710.0,20,3212.0
-50.0,715.0,17,2927.0
253.0,720.0,16,3007.0
-35.0,725.0,19,3097.0
-44.0,730.0,22,3200.0
-47.0,735.0,23,3315.0
-50.0,740.0,23,3430.0
-50.0,745.0,22,3527.0
-50.0,750.0,22,3624.0
-50.0,755.0,20,3676.0
-50.0,760.0,19,3760.0
-52.0,765.0,28,3868.0
-54.0,770.0,32,4023.0
-72.0,775.0,32,4093.0
-80.0,780.0,31,4225.0
-80.0,785.0,33,4363.0
-80.0,790.0,31,4514.0
-80.0,795.0,34,4671.0
-83.0,800.0,35,4846.0
-85.0,805.0,31,4946.0
-85.0,810.0,31,5020.0
-85.0,815.0,30,4734.0
54.0,820.0,28,4816.0
-3.0,825.0,24,4366.0
494.0,830.0,27,4185.0
-50.0,835.0,26,4252.0
-66.0,840.0,28,4347.0
-65.0,845.0,30,4494.0
-65.0,850.0,33,4649.0
-67.0,855.0,29,4741.0
-75.0,860.0,21,4170.0
-75.0,865.0,17,3353.0
-75.0,870.0,16,3282.0
-75.0,875.0,25,3388.0
-77.0,880.0,25,3473.0
-79.0,885.0,26,3601.0
-81.0,890.0,27,3735.0
-89.0,895.0,26,3826.0
-90.0,900.0,24,3655.0
215.0,905.0,25,3779.0
-84.0,910.0,25,3902.0
-85.0,915.0,25,4025.0
-85.0,920.0,26,4153.0
-86.0,925.0,24,4233.0
-90.0,930.0,25,4322.0
-90.0,935.0,25,4447.0
-90.0,940.0,26,4573.0
-90.0,945.0,25,4684.0
-90.0,950.0,25,4811.0
-92.0,955.0,21,4719.0
127.0,960.0,19,4659.0
74.0,965.0,19,4661.0
-67.0,970.0,19,4662.0
-75.0,975.0,17,4360.0
230.0,980.0,18,4447.0
-67.0,985.0,19,4538.0
-70.0,990.0,19,4616.0
-70.0,995.0,19,4711.0
-70.0,1000.0,19,4806.0
-70.0,1005.0,18,4885.0
-70.0,1010.0,18,4972.0
-70.0,1015.0,32,5091.0
-79.0,1020.0,35,4774.0
402.0,1025.0,26,4638.0
-78.0,1030.0,26,4353.0
-73.0,1035.0,28,4440.0
-89.0,1040.0,31,4560.0
-95.0,1045.0,33,4721.0
-95.0,1050.0,34,4890.0
-95.0,1055.0,33,5038.0
-95.0,1060.0,26,4922.0
89.0,1065.0,26,4894.0
62.0,1070.0,25,4967.0
-75.0,1075.0,27,5095.0
-75.0,1080.0,27,5205.0
-75.0,1085.0,27,5340.0
-75.0,1090.0,27,5475.0
-75.0,1095.0,21,5432.0
-75.0,1100.0,21,5423.0
-77.0,1105.0,21,5528.0
-75.0,1110.0,22,5634.0
-76.0,1115.0,23,5748.0
-84.0,1120.0,23,5863.0
-85.0,1125.0,23,5978.0
-85.0,1130.0,19,5232.0
778.0,1135.0,20,5326.0
-64.0,1140.0,22,5433.0
-77.0,1145.0,23,5547.0
-80.0,1150.0,21,5524.0
-80.0,1155.0,22,5631.0
-82.0,1160.0,24,5703.0
-30.0,1165.0,25,5778.0
-28.0,1170.0,20,5607.0
-75.0,1175.0,19,5438.0
-75.0,1180.0,24,5422.0
-79.0,1185.0,25,5543.0
-80.0,1190.0,22,5627.0
-80.0,1195.0,23,5734.0
-82.0,1200.0,23,5849.0
-80.0,1205.0,23,5530.0
356.0,1210.0,23,5630.0
-75.0,1215.0,25,5750.0
-75.0,1220.0,26,5838.0
-75.0,1225.0,21,5856.0
-75.0,1230.0,21,5926.0
-75.0,1235.0,21,6029.0
-75.0,1240.0,23,6138.0
-75.0,1245.0,21,6164.0
-75.0,1250.0,20,6068.0
-77.0,1255.0,18,6148.0
-75.0,1260.0,16,6158.0
-78.0,1265.0,26,6221.0
-100.0,1270.0,28,6353.0
-95.0,1275.0,28,6474.0
-80.0,1280.0,26,6197.0
303.0,1285.0,29,6325.0
-96.0,1290.0,25,6416.0
-100.0,1295.0,26,6521.0
-101.0,1300.0,29,6619.0
-106.0,1305.0,30,6735.0
