reward,step_time,total_stopped,total_wait_time
0.0,125.0,8,761.0
-171.0,130.0,9,805.0
-10.0,135.0,6,658.0
-10.0,140.0,6,610.0
-10.0,145.0,6,640.0
-10.0,150.0,7,671.0
-10.0,155.0,6,600.0
-10.0,160.0,9,639.0
-10.0,165.0,9,684.0
-10.0,170.0,10,731.0
-12.0,175.0,10,781.0
-15.0,180.0,10,831.0
-15.0,185.0,10,857.0
-18.0,190.0,9,903.0
-14.0,195.0,9,948.0
-15.0,200.0,6,828.0
-13.0,205.0,6,525.0
-15.0,210.0,7,558.0
-15.0,215.0,13,603.0
-15.0,220.0,16,680.0
-19.0,225.0,14,748.0
-20.0,230.0,14,809.0
-20.0,235.0,12,856.0
-20.0,240.0,14,903.0
-20.0,245.0,14,973.0
-20.0,250.0,14,1043.0
-20.0,255.0,9,900.0
-20.0,260.0,9,795.0
-20.0,265.0,17,852.0
-22.0,270.0,26,963.0
-33.0,275.0,27,1096.0
-43.0,280.0,26,1178.0
-45.0,285.0,25,1291.0
-47.0,290.0,23,1349.0
-45.0,295.0,21,1385.0
-46.0,300.0,24,1470.0
-50.0,305.0,25,1589.0
-50.0,310.0,25,1714.0
-52.0,315.0,26,1841.0
-50.0,320.0,27,1967.0
-48.0,325.0,28,2106.0
-50.0,330.0,29,2247.0
-50.0,335.0,24,2243.0
82.0,340.0,24,2312.0
4.0,345.0,19,2299.0
-35.0,350.0,25,2260.0
-43.0,355.0,25,2074.0
257.0,360.0,27,2200.0
-47.0,365.0,28,2338.0
-55.0,370.0,28,2417.0
-57.0,375.0,28,2557.0
-55.0,380.0,28,2695.0
-53.0,385.0,19,2355.0
-55.0,390.0,15,1845.0
-55.0,395.0,16,1705.0
-55.0,400.0,18,1790.0
-55.0,405.0,21,1889.0
-60.0,410.0,21,1994.0
-60.0,415.0,20,2087.0
-60.0,420.0,21,1749.0
394.0,425.0,14,1385.0
260.0,430.0,15,1299.0
-45.0,435.0,15,1346.0
-49.0,440.0,19,1437.0
-50.0,445.0,22,1540.0
-50.0,450.0,22,1635.0
-50.0,455.0,19,1701.0
-52.0,460.0,19,1747.0
-50.0,465.0,16,1514.0
-56.0,470.0,16,1522.0
-65.0,475.0,18,1610.0
-65.0,480.0,19,1700.0
-65.0,485.0,22,1806.0
-65.0,490.0,21,1909.0
-65.0,495.0,20,1961.0
-65.0,500.0,20,2063.0
-65.0,505.0,19,2128.0
-65.0,510.0,15,1507.0
656.0,515.0,23,1233.0
316.0,520.0,34,1381.0
-58.0,525.0,31,1530.0
-65.0,530.0,34,1685.0
-65.0,535.0,36,1861.0
-65.0,540.0,26,1468.0
327.0,545.0,20,1090.0
402.0,550.0,21,1029.0
123.0,555.0,25,1127.0
-22.0,560.0,25,1164.0
-25.0,565.0,17,1022.0
24.0,570.0,9,750.0
-20.0,575.0,12,651.0
-27.0,580.0,17,726.0
-30.0,585.0,18,810.0
-33.0,590.0,19,879.0
-35.0,595.0,19,925.0
-35.0,600.0,17,978.0
-35.0,605.0,18,1045.0
-39.0,610.0,15,1110.0
-35.0,615.0,21,1178.0
-45.0,620.0,19,1194.0
-55.0,625.0,18,1154.0
-55.0,630.0,19,1248.0
-59.0,635.0,19,1341.0
-60.0,640.0,19,1438.0
-60.0,645.0,19,1533.0
-60.0,650.0,19,1626.0
-60.0,655.0,19,1721.0
-60.0,660.0,20,1820.0
-60.0,665.0,19,1913.0
-62.0,670.0,19,2008.0
-60.0,675.0,19,2103.0
-60.0,680.0,18,1946.0
-65.0,685.0,20,1673.0
-75.0,690.0,20,1773.0
-75.0,695.0,20,1859.0
-75.0,700.0,20,1955.0
-75.0,705.0,19,2047.0
-77.0,710.0,18,2110.0
-75.0,715.0,18,2200.0
-75.0,720.0,18,2254.0
-79.0,725.0,18,2346.0
-80.0,730.0,20,2439.0
-80.0,735.0,20,2537.0
-80.0,740.0,20,2637.0
-80.0,745.0,17,2396.0
263.0,750.0,12,1924.0
492.0,755.0,11,1669.0
134.0,760.0,13,1595.0
-55.0,765.0,18,1675.0
-68.0,770.0,32,1823.0
-94.0,775.0,33,1986.0
-100.0,780.0,35,2145.0
-104.0,785.0,35,2320.0
-105.0,790.0,33,2448.0
-105.0,795.0,33,2613.0
-105.0,800.0,30,2701.0
-105.0,805.0,27,2681.0
-105.0,810.0,27,2791.0
-105.0,815.0,32,2937.0
-110.0,820.0,37,2820.0
191.0,825.0,31,2922.0
-92.0,830.0,33,3030.0
-92.0,835.0,31,2877.0
227.0,840.0,29,2425.0
455.0,845.0,27,2441.0
-77.0,850.0,27,2521.0
-81.0,855.0,29,2658.0
-85.0,860.0,28,2714.0
-88.0,865.0,30,2863.0
-92.0,870.0,30,3013.0
-90.0,875.0,33,3147.0
-92.0,880.0,34,3296.0
-96.0,885.0,32,3433.0
-100.0,890.0,32,3595.0
-100.0,895.0,32,3755.0
-100.0,900.0,33,3917.0
-100.0,905.0,33,4082.0
-100.0,910.0,33,4247.0
-100.0,915.0,32,4109.0
203.0,920.0,28,4255.0
-81.0,925.0,24,4081.0
-80.0,930.0,26,3844.0
-93.0,935.0,26,3974.0
-95.0,940.0,18,3386.0
499.0,945.0,13,2393.0
774.0,950.0,15,2348.0
-49.0,955.0,19,2437.0
-68.0,960.0,21,2537.0
-70.0,965.0,21,2618.0
-70.0,970.0,21,2725.0
-70.0,975.0,22,2832.0
-70.0,980.0,19,2911.0
-70.0,985.0,15,2802.0
-70.0,990.0,15,2751.0
-70.0,995.0,16,2830.0
-74.0,1000.0,18,2916.0
-80.0,1005.0,19,3011.0
-80.0,1010.0,18,3093.0
-80.0,1015.0,31,3211.0
-92.0,1020.0,34,3374.0
-109.0,1025.0,35,3536.0
-111.0,1030.0,35,3692.0
-120.0,1035.0,35,3864.0
-120.0,1040.0,35,4013.0
-122.0,1045.0,37,4192.0
-125.0,1050.0,36,4359.0
-125.0,1055.0,34,4494.0
-125.0,1060.0,34,4629.0
-125.0,1065.0,32,4479.0
176.0,1070.0,31,4630.0
-109.0,1075.0,33,4788.0
-117.0,1080.0,30,4276.0
563.0,1085.0,25,4112.0
27.0,1090.0,24,4045.0
-100.0,1095.0,26,4169.0
-100.0,1100.0,28,4309.0
-100.0,1105.0,25,4322.0
-100.0,1110.0,25,4349.0
-100.0,1115.0,22,4405.0
-100.0,1120.0,17,3835.0
582.0,1125.0,13,3097.0
755.0,1130.0,13,2928.0
182.0,1135.0,15,3002.0
-59.0,1140.0,18,3086.0
-60.0,1145.0,18,3176.0
-60.0,1150.0,18,3266.0
-60.0,1155.0,16,3115.0
-60.0,1160.0,21,3223.0
-70.0,1165.0,21,3328.0
-70.0,1170.0,21,3431.0
-70.0,1175.0,18,3475.0
-50.0,1180.0,20,3571.0
-66.0,1185.0,20,3673.0
-70.0,1190.0,22,3776.0
-70.0,1195.0,22,3886.0
-70.0,1200.0,23,3997.0
-70.0,1205.0,17,3987.0
-70.0,1210.0,17,3868.0
-72.0,1215.0,17,3953.0
-70.0,1220.0,18,3457.0
518.0,1225.0,14,3502.0
-58.0,1230.0,19,3586.0
-57.0,1235.0,21,3684.0
-73.0,1240.0,21,3781.0
-75.0,1245.0,20,3862.0
-75.0,1250.0,17,3905.0
-75.0,1255.0,16,3917.0
-77.0,1260.0,16,3997.0
-75.0,1265.0,27,4099.0
-86.0,1270.0,30,4207.0
-51.0,1275.0,28,4201.0
-27.0,1280.0,32,4351.0
-89.0,1285.0,32,4508.0
-95.0,1290.0,32,4644.0
-95.0,1295.0,32,4806.0
-95.0,1300.0,31,4872.0
-97.0,1305.0,34,4984.0
-105.0,1310.0,30,5097.0
-105.0,1315.0,32,5181.0
-105.0,1320.0,29,5309.0
-105.0,1325.0,28,5401.0
-107.0,1330.0,26,5456.0
-105.0,1335.0,23,5426.0
-6.0,1340.0,21,5442.0
-29.0,1345.0,22,5553.0
-92.0,1350.0,28,5682.0
-103.0,1355.0,30,5826.0
