tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized;example_device_customValue1;example_device_customValue2;emissions_CO_abs;emissions_CO2_abs;emissions_HC_abs;emissions_PMx_abs;emissions_NOx_abs;emissions_fuel_abs;emissions_electricity_abs;personinfo_id;personinfo_depart;personinfo_type;ride_waitingTime;ride_vehicle;ride_depart;ride_arrival;ride_arrivalPos;ride_duration;ride_routeLength;walk_depart;walk_departPos;walk_arrival;walk_arrivalPos;walk_duration;walk_routeLength;walk_timeLoss;walk_maxSpeed;access_stop;access_duration;access_routeLength;containerinfo_id;containerinfo_depart;stop_duration;stop_arrival;stop_arrivalPos;stop_actType;transport_waitingTime;transport_vehicle;transport_depart;transport_arrival;transport_arrivalPos;transport_duration;transport_routeLength;tranship_depart;tranship_departPos;tranship_arrival;tranship_arrivalPos;tranship_duration;tranship_routeLength;tranship_maxSpeed
flow_we.2;80.00;w_t_0;5.10;;12.38;0.00;163.00;t_e_0;141.95;;11.81;83.00;294.90;49.00;2;0.00;58.29;0;tripinfo_flow_we.2;DEFAULT_VEHTYPE;0.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ws.3;108.00;w_t_0;5.10;;13.20;0.00;163.00;t_s_0;141.95;;12.96;55.00;283.80;22.00;2;0.00;32.81;0;tripinfo_flow_ws.3;DEFAULT_VEHTYPE;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_we.3;120.00;w_t_0;5.10;;14.14;0.00;165.00;t_e_0;141.95;;13.54;45.00;294.90;12.00;2;0.00;23.56;0;tripinfo_flow_we.3;DEFAULT_VEHTYPE;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ew.3;120.00;e_t_0;5.10;;12.66;0.00;166.00;t_w_0;142.02;;11.56;46.00;294.97;11.00;2;0.00;22.37;0;tripinfo_flow_ew.3;DEFAULT_VEHTYPE;0.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ws.4;144.00;w_t_0;5.10;;14.21;0.00;166.00;t_s_0;141.95;;13.44;22.00;283.80;0.00;0;0.00;1.42;0;tripinfo_flow_ws.4;DEFAULT_VEHTYPE;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_se.5;51.00;s_t_0;5.10;;15.68;-0.43;171.00;t_e_0;141.95;;14.56;120.00;283.80;88.00;2;0.00;101.82;0;tripinfo_flow_se.5;DEFAULT_VEHTYPE;1.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sn.3;43.00;s_t_0;5.10;;12.78;-0.20;172.00;t_n_0;141.95;;12.48;129.00;294.90;92.00;2;0.00;105.74;0;tripinfo_flow_sn.3;DEFAULT_VEHTYPE;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_nw.5;51.00;n_t_0;5.10;;11.79;-0.43;172.00;t_w_0;142.02;;11.57;121.00;283.87;81.00;2;0.00;96.63;0;tripinfo_flow_nw.5;DEFAULT_VEHTYPE;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_nw.6;61.00;n_t_0;5.10;;11.30;-0.72;175.00;t_w_0;142.02;;10.59;114.00;283.87;72.00;2;0.00;88.04;0;tripinfo_flow_nw.6;DEFAULT_VEHTYPE;0.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ns.3;72.00;n_t_0;5.10;;14.22;0.00;175.00;t_s_0;141.95;;13.66;103.00;294.90;64.00;2;0.00;81.57;0;tripinfo_flow_ns.3;DEFAULT_VEHTYPE;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sn.4;57.00;s_t_0;5.10;;12.82;-0.60;176.00;t_n_0;141.95;;12.73;119.00;294.90;81.00;2;0.00;95.58;0;tripinfo_flow_sn.4;DEFAULT_VEHTYPE;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_se.6;61.00;s_t_0;5.10;;13.35;-0.72;177.00;t_e_0;141.95;;13.33;116.00;283.80;78.00;2;0.00;93.79;0;tripinfo_flow_se.6;DEFAULT_VEHTYPE;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_nw.7;73.00;n_t_0;5.10;;10.94;1.00;177.00;t_w_0;142.02;;12.24;104.00;283.87;63.00;2;0.00;81.09;0;tripinfo_flow_nw.7;DEFAULT_VEHTYPE;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_en.4;144.00;e_t_0;5.10;;15.12;0.00;180.00;t_n_0;141.95;;14.85;36.00;283.80;10.00;1;0.00;16.83;0;tripinfo_flow_en.4;DEFAULT_VEHTYPE;1.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ne.3;36.00;n_t_1;5.10;;13.53;0.00;186.00;t_e_1;141.95;;12.75;150.00;294.44;121.00;1;0.00;127.89;0;tripinfo_flow_ne.3;DEFAULT_VEHTYPE;0.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sw.3;38.00;s_t_1;5.10;;14.39;-0.57;186.00;t_w_1;142.02;;14.37;148.00;294.51;121.00;1;0.00;127.18;0;tripinfo_flow_sw.3;DEFAULT_VEHTYPE;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
